,aveMean,aveSal,coordinates,image,label,maxMean,maxSal,medDepth,medMean,medSal,minMean,minSal,obj_size,stdMean,stdSal,occluded
1492,4.401391619,0.441782677,"[[673.92, 336.86], [710.38, 337.55], [728.7, 378.33], [730.22, 444.79], [663.8, 447.4], [665.06, 366.87], [673.92, 336.86]]",target_field,building,4.781821688,0.524295542,0.19607843,4.401391619,0.441782677,3.991362834,0.390123219,0.008496602,0.190576517,0.028151338,0
1493,3.556264329,0.256622053,"[[1024.0, 179.08], [930.11, 179.08], [901.91, 192.06], [881.04, 210.67], [833.09, 203.34], [795.87, 211.8], [711.26, 251.85], [688.7, 261.43], [641.09, 338.65], [663.54, 383.61], [944.27, 377.97], [1024.0, 376.56], [1024.0, 179.08]]",target_field,mountain,4.618709044,0.486198376,0.34117648,3.556264329,0.256622053,2.264199879,0.019253485,0.078543345,0.458124848,0.135437571,1
1494,3.081251938,0.165386087,"[[0.0, 57.68], [13.32, 56.05], [34.21, 29.61], [84.8, 16.88], [111.24, 9.37], [122.67, 1.53], [212.43, 0.0], [240.83, 11.65], [354.36, 57.84], [424.08, 80.85], [495.14, 117.38], [570.74, 178.29], [626.03, 216.64], [661.48, 251.73], [754.28, 282.02], [789.53, 308.1], [798.7, 347.6], [638.83, 396.2], [476.01, 413.05], [125.11, 397.61], [0.0, 394.8], [0.0, 57.68]]",target_field,mountain,5.273206791,0.633186938,0.21960784,3.081251938,0.165386087,1.602718337,0.000758517,0.292736053,0.716856335,0.151271193,1
1495,3.105582528,0.178616632,"[[1023.99, 449.13], [0.0, 444.45], [0.0, 0.0], [1024.0, 0.0], [1023.99, 449.13]]",target_field,sky,5.297004949,0.924626137,0.33333334,3.105582528,0.178616632,1.498880056,0,0.582682292,0.725472201,0.166685805,1
1496,3.998947574,0.351661406,"[[1024.0, 228.24], [972.3, 251.25], [893.11, 289.83], [854.53, 299.98], [750.29, 302.69], [638.61, 306.75], [591.23, 314.2], [545.88, 328.41], [488.35, 393.39], [451.8, 470.55], [646.06, 452.95], [826.78, 442.8], [1024.0, 442.8], [1024.0, 228.24]]",target_field,hill,5.297004949,0.685783468,0.2901961,3.998947574,0.351661406,2.685846258,0.026080147,0.104236603,0.627340883,0.170033473,1
1497,3.157402098,0.129013833,"[[863.93, 436.7], [915.24, 434.78], [939.92, 444.54], [958.33, 434.35], [973.6, 417.16], [978.3, 410.46], [994.36, 404.62], [999.46, 414.42], [1013.17, 445.75], [1024.0, 448.89], [1024.0, 740.7], [1001.85, 736.74], [992.25, 724.91], [944.85, 623.94], [899.73, 538.78], [877.91, 496.01], [868.59, 466.32], [863.93, 436.7]]",target_field,vineyard,3.811373676,0.451432434,0.08627451,3.157402098,0.129013833,2.619660646,0.001029353,0.038955688,0.256134198,0.12365859,0
1498,4.221410712,0.526441735,"[[209.3, 388.13], [207.79, 414.38], [192.86, 421.37], [188.33, 428.93], [186.59, 494.16], [238.69, 492.59], [240.5, 427.34], [233.89, 422.0], [223.5, 413.65], [223.03, 391.45], [223.03, 387.2], [219.56, 385.46], [215.15, 384.69], [209.3, 388.13]]",target_field,building,4.471975884,0.878610711,0.09803922,4.221410712,0.526441735,3.790814549,0.32089592,0.005688985,0.14845373,0.145328378,1
1499,4.621654727,0.485487682,"[[612.21, 399.95], [630.5, 383.0], [686.46, 382.37], [738.5, 382.22], [747.94, 382.6], [741.71, 447.02], [657.45, 446.82], [611.18, 444.37], [612.21, 399.95]]",target_field,building,5.291463825,0.624874762,0.18039216,4.621654727,0.485487682,3.775928644,0.418574408,0.01076889,0.363546117,0.047368784,1
1500,3.769208779,0.402760809,"[[786.7, 444.8], [781.53, 418.94], [784.87, 345.62], [790.51, 320.24], [812.08, 260.07], [817.72, 260.07], [837.98, 313.19], [853.49, 384.16], [859.09, 402.96], [856.78, 433.05], [853.92, 441.04], [786.7, 444.8]]",target_field,tree,4.153745441,0.436419596,0.2784314,3.769208779,0.402760809,3.241846707,0.316815573,0.012846629,0.228097769,0.026079001,0
1501,3.761225386,0.432447358,"[[723.72, 395.68], [734.68, 390.21], [741.67, 378.3], [753.76, 369.43], [771.14, 369.62], [789.08, 386.24], [799.94, 418.58], [794.5, 443.97], [728.77, 446.91], [721.97, 433.77], [716.98, 410.19], [723.72, 395.68]]",target_field,tree,4.356323294,0.486198376,0.20392157,3.761225386,0.432447358,3.241846707,0.375296847,0.006402334,0.280188268,0.024907844,1
1502,3.74977391,0.129625659,"[[922.88, 315.08], [937.18, 303.01], [951.74, 297.5], [976.93, 296.19], [977.45, 309.31], [977.06, 327.67], [930.88, 329.38], [923.54, 328.06], [922.88, 315.08]]",target_field,building,3.831772218,0.211752073,0.3137255,3.74977391,0.129625659,3.596516712,0.075890417,0.001988729,0.051546211,0.035856548,0
1503,4.216007475,0.451130199,"[[701.95, 387.13], [721.5, 390.9], [733.24, 414.87], [738.95, 423.03], [749.01, 399.64], [755.27, 393.93], [763.16, 405.9], [768.6, 416.51], [768.6, 444.25], [667.95, 451.05], [668.5, 435.0], [680.74, 409.7], [701.95, 387.13]]",target_field,tree,4.725745365,0.51147675,0.1882353,4.216007475,0.451130199,3.422525702,0.403840825,0.005914052,0.371331177,0.019001589,0
1504,4.325449875,0.660745987,"[[229.14, 494.08], [229.42, 464.16], [229.14, 442.4], [257.16, 398.06], [285.99, 400.51], [298.51, 418.46], [301.77, 426.62], [311.94, 425.59], [320.95, 415.04], [361.26, 416.23], [432.01, 415.15], [444.5, 436.14], [445.1, 482.9], [306.37, 491.42], [283.68, 491.96], [229.14, 494.08]]",target_field,building,4.839512814,1,0.11764706,4.325449875,0.660745987,3.898381299,0.358478819,0.020529429,0.237725486,0.163341724,1
1505,3.35183842,0.199500836,"[[1023.99, 447.96], [816.73, 445.62], [552.4, 459.65], [331.35, 492.4], [60.12, 525.97], [0.0, 535.56], [0.0, 763.28], [1024.0, 768.0], [1023.99, 447.96]]",target_field,hill,4.7874327,0.696728237,0.09411765,3.35183842,0.199500836,2.373974056,0.000401388,0.378868103,0.387641095,0.154752137,1
1506,4.862788457,0.510806593,"[[494.3, 469.2], [494.76, 421.55], [507.73, 382.38], [515.35, 403.27], [522.12, 422.27], [521.27, 468.49], [494.3, 469.2]]",target_field,building,5.273134055,0.572461701,0.16862746,4.862788457,0.510806593,3.949552285,0.430447299,0.00247701,0.315321064,0.035921301,1
1507,3.452008576,0.227606966,"[[0.0, 768.0], [0.0, 768.0], [729.41, 768.0], [800.35, 609.35], [835.51, 539.02], [854.51, 485.46], [857.54, 441.0], [727.38, 447.87], [525.08, 460.6], [471.72, 468.28], [240.71, 503.85], [16.98, 532.55], [0.0, 534.57], [0.0, 768.0]]",target_field,vineyard,4.824731792,0.706478191,0.078431375,3.452008576,0.227606966,2.619962114,0.00204302,0.291530609,0.375512654,0.15786916,0
1508,3.733164424,0.305761891,"[[0.0, 297.27], [63.29, 315.55], [153.31, 322.32], [165.49, 311.49], [253.48, 331.12], [267.7, 328.41], [318.46, 334.5], [368.55, 347.36], [461.95, 393.39], [498.5, 419.78], [517.45, 461.07], [313.04, 492.88], [130.29, 517.25], [0.0, 535.53], [0.0, 297.27]]",target_field,hill,5.297004949,1,0.12941177,3.733164424,0.305761891,2.2743911,0.006663035,0.104598999,0.649284898,0.238633283,1
1509,3.264083857,0.106180577,"[[966.49, 356.65], [1004.28, 411.87], [1007.67, 433.36], [1004.85, 462.69], [992.44, 490.89], [1024.0, 491.4], [1024.0, 0.0], [780.07, 0.0], [792.0, 92.1], [803.6, 150.9], [804.1, 198.5], [876.53, 197.13], [966.49, 356.65]]",target_park,tree,4.086079693,0.556325495,0.32156864,3.264083857,0.106180577,2.307560021,0.001967927,0.083693186,0.273997249,0.10461662,0
1510,4.491957391,0.50665197,"[[144.4, 415.2], [142.5, 397.1], [142.82, 390.34], [148.79, 388.14], [155.57, 389.08], [157.6, 394.9], [156.2, 415.5], [144.4, 415.2]]",target_park,trashcan,4.627163288,0.606702041,0.49803922,4.491957391,0.50665197,4.292196006,0.428369814,0.000507355,0.080438543,0.042684235,0
1511,4.329451616,0.400357021,"[[530.74, 452.63], [541.76, 457.04], [541.44, 470.26], [564.58, 466.17], [582.53, 460.82], [582.53, 449.64], [592.45, 444.6], [597.48, 427.13], [595.28, 425.71], [589.93, 425.55], [556.24, 429.33], [552.78, 436.42], [551.36, 445.86], [550.1, 447.91], [534.2, 446.81], [532.0, 446.81], [528.69, 448.22], [528.85, 450.27], [530.74, 452.63]]",target_park,bench,4.706322996,0.500362976,0.39215687,4.329451616,0.400357021,4.068191279,0.346796176,0.002296448,0.168368142,0.034838923,0
